"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_0.0",9250125.29626373,8083476.65469622,8928848.51055799,8873950.37294201,6666749.59677547,8986665.76248205,9086999.08612756,7712761.32715007,8990783.2156012,9548542.25044034,7830777.81840232,7540110.3944688,9870159.95072102,7989255.94985095,6885802.44270768,7451766.6502907,8909821.40579361,9681520.69664056,6747444.49367529,9892220.86197907,7558308.10912713,4408248.31935978,10050124.7081982,7841332.9851005,9834437.22960568,10475522.4879244,10196799.1948807,11285147.7331544,8146843.66376339,5997877.99416811,8298534.03269371,9297203.8328066,6866833.20832613,8462621.47518796,7768505.90993413,5669200.79680292,8706882.16849723,3274949.20607302,7069722.27103611,9221245.94689162,8584371.79018369,6617349.90436408,8467936.81734082,5967045.71459168,8602321.28005903,8565830.22689676,7328687.54385909,7272729.65810258,8489457.0174927,9930912.51870899,7353004.26442243
"Glu_1.1",1128546.70481699,1205279.70681566,1165171.32933302,1152891.11358339,856611.0469554,1190583.10339406,1163704.54225568,997745.013819937,1142075.37408251,1250110.61076793,1101397.13766825,1127095.38076463,1313785.02066259,1089905.6246024,912160.596964768,1089716.16706957,1143213.40697437,1312251.48766089,857547.715246777,1255596.58193718,1000382.86186397,764555.850347259,1278305.76731794,1038812.00304211,1265419.7288768,1419326.89505263,1335757.7235753,1504801.98332712,1064270.07306957,821149.315300095,1073818.66406906,1256113.92441976,949812.289591831,1170327.3827808,1038235.43367783,848926.091160002,1106837.07480187,421009.96498644,971938.961170651,1239778.10542595,1111659.42058156,852565.805171231,1247990.92860015,893519.590083249,1206742.82277931,1161787.07457969,980559.574238647,984045.223546032,1071627.34207948,1294179.88344212,1022780.90480522
"Glu_1.0",424640.617201838,426595.929296329,449883.51955617,420045.066464277,307499.32016809,429535.533943762,413754.880061778,361375.672371587,415433.538279565,461762.657679824,386910.435651718,382617.474999006,470549.57625072,393486.11256946,333144.9906168,366512.944664245,432173.067155696,478169.733707763,321035.072479745,449390.640775032,361298.031544274,205068.04443103,474265.52426134,376376.902726662,465286.742647495,522950.014049262,481370.028479513,552519.505440005,392590.293580554,302562.815433019,398352.688619678,453522.372589457,330697.26521574,433110.268949075,362908.027803632,286518.893167457,405601.020042038,153655.816983708,351456.265408843,441151.578679114,408893.008944452,310262.961848716,437834.661036113,303442.80691529,424748.43683456,407301.750816659,342608.541656232,339690.475969893,392501.065753023,467008.921762254,349880.52250086
"Glu_2.2",151516.961360162,191938.815039613,157081.016763486,145974.226243829,102367.400835871,153673.299430518,152126.983697185,125341.126611199,144847.619331081,156575.580505692,146868.150045266,174983.888515253,161932.33358821,145064.971695172,115252.603288636,168020.614422745,148891.693700904,179315.966549225,106195.306614832,155540.065863484,126635.794563061,94871.5031004191,171276.020080196,136341.935657531,160944.278488183,177290.462563702,163282.631530152,198804.46122853,134937.669256711,112814.049487599,141573.634136276,156282.130471869,127087.566045276,145189.590092688,128293.601378617,124353.859927504,143790.670073294,58466.988708793,163725.83605944,159538.121580438,140064.851782436,105473.725065296,191227.511163133,132793.54229201,173759.989601932,150914.176754251,122031.263916533,139090.359869551,145788.670449331,171990.660128656,143432.008710099
"Glu_2.1",51633.7006310699,154229.817869856,56564.1402885499,50398.4184078193,36532.807115853,52863.48625419,52751.5749644729,46628.9256781934,55128.4465937273,56846.4789555172,76763.799357173,144915.602063203,58606.0143836323,50622.5803809528,42672.9498500673,126409.788944412,53706.1823246973,97775.633750698,37995.5592990277,59365.1400121269,47324.2280022865,37745.7157066122,61230.8022649392,50337.1965345972,60554.9627441656,63056.6329454851,60402.5592353012,70252.7871022736,48813.6746632642,65835.1342490598,52699.0734205412,57695.2256543785,69017.1756723243,51687.7089635172,46867.1777809436,98158.0212954636,51006.976908053,19364.9393291021,127684.614925309,54759.5771538978,55237.6406781222,39491.8395142608,155583.032996868,113003.940557556,90487.1343449413,53983.0653446435,43024.0122649202,75561.7859230412,54013.9091441925,60487.3187114011,80583.5715109245
"Glu_3.3",13123.8499334469,36375.7581568556,12744.6001041794,13427.3998871422,8982.37447384218,14353.985939464,13891.9671066716,10923.700043417,13749.6168540392,14983.1417983265,21506.2081987762,32558.2036541736,14287.2378784412,15437.6751750907,11676.1289011157,29055.9891005144,13996.6751779995,26017.4828990264,10316.7584433231,18358.9999247685,10241.149913188,10847.8249464779,14299.8915726175,12440.9001418018,14381.4967528535,14421.1914625871,15627.5919603777,17451.0739516407,12574.0499023266,18585.7667173175,14622.166660162,13503.7169068699,17346.51393495,12858.9666666851,11521.5409343375,22191.8314795354,13259.0148298899,4096.71667970371,29812.6084548454,13772.9650240808,16461.7083130703,11076.1749291,37362.4081018447,24023.8278532767,25034.0497135086,15437.5334867001,11455.5667288895,19869.3132608046,14963.5501931667,14167.0832399921,22021.9536542184
"Glu_3.2",6789.47503617668,531197.504854713,8306.80001737118,10719.8730742726,5101.88332971286,8484.11744747585,6524.34988135527,8534.20845054056,8287.80007451059,9814.72785637878,165081.426011655,477487.556289197,7547.89172163772,33785.96660312,9293.34165509794,449343.177413585,6751.94167824554,221713.512945992,5611.02577107208,50412.6348978495,5803.33326387977,5765.34989293098,8875.85823783014,5818.65828392353,6671.15398165115,8935.68292803146,7467.85359396816,9096.79676155825,6380.11261559346,151933.157473525,46602.2881078666,10779.8336630475,160160.053607292,6800.5125739833,6041.88620519222,328203.608001659,12159.042903304,0,463927.927680293,9016.70838562627,31533.7636732255,4665.63332465076,520883.043186472,366834.347712482,214478.683731914,51022.1434997297,7586.33334781361,185212.538019881,42978.7229821915,8661.41611774024,187042.433736253
"Glu_4.3",0,405239.299251969,0,38628.9807428603,0,25021.557768083,0,31548.201097726,0,40809.4098413252,252486.688518712,445701.855530432,0,105461.530662577,33547.275269341,323724.831394998,0,282881.638700612,0,115347.1272162,0,0,0,0,0,0,0,0,0,235215.463389291,110772.47455916,38720.2954129942,204433.134277938,0,0,270662.488937663,39134.0519610428,0,360277.277224313,29351.5930395676,128017.691619135,0,395308.566038291,280151.6211512,286028.280075143,113209.771867536,0,254186.935648876,131421.479604876,0,277522.778606433
"Glu_4.4",0,82427.2367358482,0,10392.8000028734,0,6421.23542554032,0,6220.48326531793,0,10706.0626816838,53951.6815511993,86817.2161226386,0,21604.1845714701,8332.72167242631,63363.7588968576,0,58527.6447248003,0,25016.5671763004,0,0,0,0,0,0,0,0,0,45924.6651636544,25444.5150317202,8910.88622647369,39019.9841879197,0,0,53113.9086007254,8932.98350047112,0,73336.2998431273,7572.67421855502,27857.043339376,0,80395.3969155969,56761.8273570648,59749.2753277203,23560.0269488439,0,52282.3862605846,27542.2232242627,0,56563.9093493985
"Glu_5.4",44947.2668229103,9863700.81180005,80299.8096227749,1130901.6463469,36543.9433306527,743127.664432966,37074.0569766117,885414.592869829,48436.3003009834,1146453.62330315,6823281.2114792,10816449.5627314,87609.4911333441,3000793.43003699,1044954.83100897,7911187.61587292,27879.383003418,7160394.23882603,20140.408229187,3230671.2986464,23858.1083218041,0,36926.0959756279,27172.3486854433,31291.9593442868,106022.557251537,82216.3774584527,51536.4223104559,46321.2774262325,6080016.33415398,3180645.03079849,1057160.06412979,5087969.83587872,79350.8816554037,30985.5668704716,6685164.31842199,1148684.30890955,0,8311672.62665076,809552.956654847,3757492.05055725,18358.8418171463,9342821.40473121,7221362.95269007,7568183.99615304,3090507.19040919,45176.9331423417,6524194.23563895,3493739.03780193,36708.5872956935,7290372.92122906
