"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Orn_5.5",0,6900969.73814811,0,92517.91474788,0,17773.91952403,0,69526.32717899,0,65180.12567463,2874342.0195541,7632534.95860122,0,570679.07631067,46898.11894873,2906602.59724004,0,2199772.01503293,0,488123.77669841,0,0,0,0,0,0,0,0,0,2962250.56976759,334899.7594596,64081.6556737,1474612.6498989,0,0,5406190.58308722,90027.39455741,0,6782037.05090894,18082.00974946,732982.63281386,0,4282236.87517581,2502162.91794835,1674764.68916788,426499.30327846,0,3348878.65994659,753960.56624668,0,3558492.64884203
"Glu_0.0",10524631.6390724,9197239.10779511,10159088.8436897,10096626.3523801,7585311.7090965,10224871.9616658,10339029.5174099,8775445.65752446,10229556.7280149,10864165.254583,8909722.76811392,8579006.42996376,11230096.2811966,9090036.42899929,7834546.22558097,8478490.45477234,10137439.8193776,11015465.8172161,7677124.95925813,11255196.7997438,8599711.82831504,5015628.24671115,11434857.0841523,8921732.35473621,11189451.7383689,11918867.7509027,11601740.731324,12840044.773444,9269336.99082696,6824281.23543826,9441927.65108289,10578196.7755859,7812963.36071334,9628624.34328353,8838870.87588088,6450318.03834144,9906539.05588301,3726181.17899275,8043807.0065617,10491773.2144469,9767148.87877629,7529105.63459134,9634671.19231902,6789200.80413175,9787571.49608546,9746052.61063984,8338453.18768945,8274785.27980435,9659156.50166045,11299219.7343463,8366120.33032112
"Glu_1.0",123952.41921804,171479.54735868,165149.08641244,133330.77462153,90987.4626839,139751.95080328,117900.04159479,111668.52223435,123547.52993336,154600.87996162,136138.76908774,142541.37800542,152109.97010533,137466.50935141,111660.23397897,127648.44755386,145736.48309615,168104.80724379,103254.7467908,127178.64323891,117577.6323021,62144.14212404,149349.66561243,123741.47831179,147504.85697814,188223.15356367,151737.41099345,190427.60591676,130328.2407702,111343.84439442,130993.86943334,154985.08576783,109611.85926082,164144.02519416,111247.68917918,105852.39181248,123384.10622083,47642.90706199,125352.59296549,143859.37366321,131886.94106894,96049.18096899,169337.59908639,113542.34841465,149229.96467621,130796.43278525,105230.20007804,104082.59214985,116922.16045208,145722.40523527,112559.46290677
"Glu_1.1",408101.08748823,605881.61461309,480192.55307983,471420.89100922,343329.88231692,503632.59962251,463551.13483636,404857.13230238,448052.20721644,518155.07861316,511615.14617626,568378.90624695,560147.88055934,483533.21890195,385789.52748937,534215.19636489,457014.22694095,576265.49584321,336754.29701026,491852.28161871,422482.61604312,452459.97395151,502738.23143262,439409.92212172,508504.30067855,622902.84007627,554217.01218541,643491.78851928,439443.44362335,366320.46323523,435942.67293235,548786.03109882,430425.25961331,530200.72497493,445648.3030963,429048.47649214,434841.92732166,168901.12258463,436388.0256783,537392.25100008,451929.82638706,343405.9615861,618071.25195082,451581.76496797,558414.34062137,510719.99200598,421674.33195965,430938.53975607,415369.97649944,532086.70178883,467409.72168909
"Glu_2.1",4605.59786684,114405.29058021,5364.01500557,1477.09360716,728.08681267,2283.74730394,4992.19918095,5015.69148241,8089.34309992,3268.14049289,33241.05315703,109252.21202458,3001.69228202,3833.75747333,3838.7158693,90887.61610514,4565.90854757,46299.69433433,1334.65126411,8203.08902307,5200.45772242,8082.48137504,7595.0754908,6576.87935056,7397.27835723,961.2516655,4223.34622692,5641.13219654,3362.39474192,33752.68727392,7359.73930327,3968.73523351,32521.12576453,0,3746.89868214,69907.53146848,4785.68822687,1473.19794587,97102.64028082,2188.9174734,8704.33370304,3811.09167281,114464.6818588,84427.30863663,43674.93980749,5421.12596274,2113.99499577,39098.33971852,10111.98430833,6434.76309407,42602.3635872
"Glu_2.2",19846.93174313,64335.79797523,24244.59535773,13095.79323264,2434.01190313,17729.85204018,18007.30301922,10045.13315235,12258.63906094,12620.60504345,24140.12356401,55131.49601685,11094.63752446,22394.14769016,10754.3915305,51184.65502405,17145.13998328,31953.16533256,6301.8023317,9225.89084837,11974.40972545,13774.14132988,24191.72000702,18012.14822471,14692.41887037,15509.35454484,8937.01440407,27968.76450014,12518.09791252,20982.5871529,18417.95353874,12959.30771605,20748.24697494,12581.01369482,9292.46429739,33105.01659633,15797.42325821,10305.31535976,59337.51488715,18585.90564709,11706.53663093,6586.60420864,57583.5480125,37014.04952942,40951.72559259,19395.42785649,9801.07100027,29158.87855178,22478.50872406,24059.49076435,30034.27337691
"Glu_3.2",7.41698864,585480.30233548,981.68913721,4903.34464479,704.05976917,1921.0923827,0,3167.30194652,1669.0183231,3073.11020112,177823.24483237,525783.3602119,276.27964004,30940.11654626,4520.833742,495727.80705797,0,239551.25669999,938.80101169,49203.14769474,0,1446.06464662,1063.58702007,0,0,1015.99825538,31.58601344,0,218.14376428,164422.52235916,45437.34444232,4119.94831639,173350.69274401,197.50040406,278.05661707,361584.65337784,6462.29766685,0,511997.45990456,2260.94025905,28229.25840677,0,573791.49805934,403915.2234086,231966.45083017,50267.04203356,2469.12075942,200903.77725503,41080.31784674,931.94465392,202430.06959044
"Glu_3.3",721.98187064,22351.70486937,0,1350.61902419,420.40242494,1560.68213384,1257.02021376,490.55249361,1826.7092635,2061.63599392,10055.15649693,19657.54394047,529.92281342,3477.79277575,2203.75389947,16461.10431465,1670.34070398,12239.82748451,1607.59110731,6190.0528437,0,2258.80315663,0,944.816074,946.0932419,0,2013.35415267,552.954437,1295.61886475,10186.50659277,3154.75727528,218.21945502,7336.84259979,323.85556074,628.13393056,12852.49811637,1487.9901045,0,18069.61304751,249.06325903,5383.80410262,2478.13797657,23572.8937412,14105.10875073,11488.30294576,2931.9390759,1148.01822866,9157.2396571,3275.10188295,0,11054.63192761
"Glu_4.3",0,409516.75837626,0,42905.86130652,0,27621.92289916,0,35067.46031752,0,45442.59691913,271164.04118567,460750.65660157,0,116672.09781915,37213.36971162,324822.7795659,0,300263.27507729,0,126244.76878066,0,0,0,0,0,0,0,0,0,252754.5742097,121504.9926626,43027.78156086,217051.19366499,0,0,276132.958282,43327.44994939,0,364959.73899465,32540.84584186,142471.24224004,0,399153.1889128,283165.9923707,304556.56353086,123866.46974568,0,271199.07801934,145327.91963538,0,297493.77695389
"Glu_4.4",0,90278.80305144,0,10698.83487744,0,6079.81888127,0,6174.54613914,0,10927.48562208,59441.01337806,95661.03765411,0,23215.42517809,8489.40321237,69317.18905839,0,64222.10421246,0,26904.05314605,0,0,0,0,0,0,0,0,0,50547.23868787,27674.10784852,9026.31600211,42832.85433328,0,0,58340.87537176,9032.96161967,0,80533.11389004,7450.65830641,30280.64670951,0,87910.07046505,62309.05338447,65649.10354864,25466.26640567,0,57652.39737854,30009.34126308,0,62324.22268416
