"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"Lactone_4",5053.66944920732,2354.43618926393,2512.9314937611,0,0,4394.13355804304,3051.09766528102,2736.07940353337,0,2772.84427924362,2116.83895673547,4398.24332219775,2865.75829531801,3761.21123998218,1908.70795844682
"Lactone_5",682.573849977109,173.765501400408,346.678190317237,0,0,2605.80803913907,184.9180067835,484.023096850541,0,156.475049820725,1591.42125512063,1650.47341515176,1124.30933582545,905.59944120998,1399.79804783069
"Mal_0",1682925,1772565,2353562,1051858.82379966,783929.999999999,2662317,2014831,2367866,980680.000000001,2244462,2439556,2455626,2486693,2466833,1571187
"Mal_1",290047.276654548,343947.141481748,431154.067831678,110810.99170793,129316.727844556,507479.989069098,401268.352171467,422357.483745207,145335.086554413,428844.311108707,453237.18878159,484679.019858938,460983.451848972,516608.617673732,289679.59059853
"Mal_2",582671.308500637,849098.676558169,939631.705660701,39697.6519879437,328546.990085427,1068171.38202816,976995.201148637,892967.013573821,287635.534908416,937133.409288791,959152.176604996,1036623.67556454,983662.855224031,1254438.94436702,615738.786474519
"Mal_3",331568.773834789,585159.449714363,527386.487278874,0,202939.815233228,590087.883355106,677062.736775295,532343.631346182,141353.674357012,544431.574189546,621968.625707751,636732.068717443,566643.575126456,877309.066980525,335127.545671975
"Mal_4",90143.631116692,241504.120607969,200314.088455501,0,81620.6621058349,183974.434549654,256297.288214729,182743.714480753,47137.4274409525,196635.605447726,228026.299422979,233130.336473508,211683.62221395,347745.644807564,97896.8085044458
"Succ_0",187980.999999996,78021.0000000031,97218.9999999988,1143761.83609557,63113.9208624313,182428.999999998,128538.999999998,138815,194811.000000001,191388.999999997,144988,148192.999999998,125015.999999999,170619.000000003,113798.000000001
"Succ_1",16559.9608328094,9350.17280010782,6664.63853902767,97792.1646001055,0,14051.2348310123,11960.8666327393,9016.59076718821,7427.63637176602,12781.4929318957,9658.36267083781,11241.5303285815,11201.9556629331,13302.2394993801,5629.95417011722
"Succ_2",22125.4173700482,21153.1303761269,25816.1096680798,1155.67685059764,5935.25024126076,33319.3186992687,32459.1663568374,29842.64522285,6383.7752955656,32875.3086358686,25440.3833296112,32490.0989633454,25595.4169569877,35300.1183922271,23465.7302532724
"Succ_3",10481.0080762848,13291.646708942,13261.2302905721,0,3758.29888205695,18058.4886343223,21753.9473271651,14256.7970210508,2295.22468625302,16362.2818235351,13268.4621027666,15187.7076185922,14363.5631843397,20604.7436891672,12786.9138571009
"Succ_4",4960.4126401521,6932.90726535021,4348.13874898439,2845.44208035459,1363.62193107797,7500.75757095202,10321.4563534968,8240.36412516246,1229.3334230141,6597.74112614029,6574.35520025921,8194.50522212786,6478.22330368312,11233.4111316934,4721.24878078488
