"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2HG_3",780067.68068709,93956.07292879,189823.06207451,172162.92747004,20591.14523764,994832.14770578,113252.05402061,234994.6087044,65433.72846265,355501.02227404,767485.20218084,728444.34754958,666032.67478957,389560.5740574,822704.61644836
"2HG_4",724719.0746336,94971.66971453,181115.97232237,0,12762.43588334,1021370.77080354,103469.60363137,219117.03073193,32748.90234525,302918.23765615,715616.11206385,689783.70360438,644344.28689604,336155.33886489,713370.01984157
"2HG_5",193921.16039294,29410.49895968,49356.49721852,4270.10053589,4838.28734036,295252.27402103,33444.09952574,58381.98563172,11438.62658455,97879.17780488,264246.22645854,252404.98242973,210805.99033839,97809.15470286,196656.09267416
"Lactone_0",119110.56288237,19503.43114079,26843.23232443,0,0,162610.2242551,33221.96798017,35787.41142504,0,49071.85066974,86113.11719026,105640.50071363,83453.82816398,43960.75322518,162420.13345931
"Lactone_1",3710.24133715,727.64187506,744.30969679,0,0,11110.80940846,0,1824.06517352,0,550.2933673,4573.6409431,173.21973271,3214.07614392,509.75441133,0
"Lactone_2",26794.26197912,3174.60555422,3457.57789971,0,0,23098.01929519,4205.20014733,6179.76119971,0,9442.31835584,22837.77183552,16103.44820588,19600.54246974,5017.12189745,35916.23121803
"Lactone_3",2578.26714783,98.70134587,617.10027417,0,0,6412.94019506,406.8219629,776.14713404,0,936.71650619,2633.93199037,3985.40906447,2364.65364408,1073.57829108,4436.94394755
"Lactone_4",5918.53595921,2765.95548613,2942.55224823,0,0,5026.28726913,3587.53746067,3197.50435787,0,3260.36378041,2401.35830118,5088.02752379,3312.28749483,4381.21242389,2170.18604949
"Lactone_5",813.0086781,206.97070993,412.92546477,0,0,3103.75554953,220.28984768,576.51585763,0,186.37643987,1895.52831931,1965.86459165,1339.15545734,1078.65156191,1667.75290341
"Mal_0",2396571.04282164,2523702.8596402,3351242.62691672,1498869.14680833,1116447.99888818,3790595.60991274,2868484.03377927,3371767.00729339,1396872.10129069,3195646.08837313,3473596.22157612,3496078.03417678,3540728.44220804,3511635.92326419,2237188.65226173
"Mal_1",401111.89306726,471131.36616113,594126.67323357,158511.24582838,176856.95374716,700390.26844378,550042.61973381,582812.38633904,201101.62926703,590878.82295533,625419.42203494,668475.10873014,635843.17527916,708247.29994782,399621.06061803
"Mal_2",833504.25200578,1210225.73064424,1344503.15775191,57777.85901805,469305.12409433,1528805.9584761,1392332.26485844,1276350.8534484,412446.13946538,1340111.97647982,1368767.38130927,1480876.50690269,1406866.90957524,1787386.83978334,881482.18583325
"Mal_3",482101.08000915,845926.41303151,763438.23669603,0,293503.56333483,856589.22891589,980159.25149653,771769.65430851,205011.05065996,788715.55861686,900841.98711227,922243.27732676,820476.66617673,1269119.22147761,486872.46898495
"Mal_4",133863.30283197,358633.54527488,297466.39049373,0,121206.66282981,273202.03686514,380601.40648888,271374.39558794,69999.08154364,292003.84699493,338619.00943953,346198.50939975,314350.14643932,516402.18221442,145376.76783453
"Succ_0",238450.44429259,98937.97820268,123346.729569,1450863.60999288,80104.54013182,231435.25887795,163043.41168855,176127.21087911,247236.8724957,242827.06878841,183955.62889606,188005.29253193,158579.47722046,216451.18657734,144408.32986256
"Succ_1",20667.70552215,11448.00873874,7883.2205235,125372.43132691,0,17163.4193982,14506.40869775,10795.46483192,9360.85923419,15545.91862487,11732.15857453,13580.54948724,13708.10754773,16152.55475901,6617.02444699
"Succ_2",28253.20871931,26884.9693808,32924.41631897,1476.6518586,7506.21479208,42458.06915044,41201.02635002,38104.2933037,8180.25627279,41948.77632188,32439.19174006,41497.15835787,32596.95526439,44926.95590959,29898.710169
"Succ_3",13451.72506732,17025.04971888,17121.90010276,0,4838.56472506,23232.24542023,27918.47866867,18218.78793447,2938.21584644,21060.56855867,17013.6692878,19439.27054012,18451.64608265,26366.58091325,16481.55135404
"Succ_4",6556.05847761,9163.05594703,5746.83095846,3681.70852412,1805.13441911,9913.57101168,13641.61941185,10891.09023061,1624.78072904,8720.07616022,8689.16677899,10830.47996753,8562.1117368,14846.92789625,6239.96111066
