"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ala_1.0",NA,-0.06287693,NA,NA,NA,NA,NA,NA,NA,NA,-0.08375872,-0.02693847,NA,NA,NA,-0.04564238,NA,-0.02920825,NA,NA,NA,-0.08169676,NA,NA,NA,NA,NA,NA,NA,-0.00866829,NA,NA,-0.04171791,NA,NA,-0.03245505,NA,NA,Inf,NA,NA,NA,-0.03104702,-0.76314563,-0.03923668,Inf,NA,-0.01762231,NA,NA,-Inf
"Ala_1.1",NA,-0.02108378,NA,NA,NA,NA,NA,NA,NA,NA,-0.02754874,-0.05602972,NA,NA,NA,-0.05931423,NA,-0.02246821,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,-0.03289755,NA,NA,-0.05843701,NA,NA,-0.06568264,NA,NA,NA,-0.0413543,-0.07397082,-0.39034138,Inf,NA,-0.01619038,NA,NA,Inf
"Ala_2.1",NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,-Inf,NA,Inf,NA,NA,Inf
"Ala_2.2",NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,-Inf,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,-Inf,NA,-Inf,NA,NA,-Inf
"Ala_3.2",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,Inf,NA,0,NA,NA,0
"Orn_0.0",3.2e-07,0,4.4e-07,3.2e-07,4.1e-07,2.9e-07,5e-07,3.5e-07,3.7e-07,2e-07,0,0,3.6e-07,0,3.1e-07,0,2.4e-07,0,3.6e-07,0,2.8e-07,3.3e-07,-0.00092736,3.7e-07,2.5e-07,1.4e-07,4.1e-07,-0.00055156,-0.00026365,0,0,3e-07,0,4.2e-07,3.1e-07,0,4.1e-07,2.8e-07,0,3.6e-07,0,2.8e-07,0,0,0,0,3.1e-07,0,-0.00036531,3.4e-07,0
"Orn_1.1",-6.59e-06,0,-7.16e-06,-4.67e-06,-1.375e-05,-7.39e-06,-7.19e-06,-7.99e-06,-5.44e-06,-0.00723182,0,0,-5.13e-06,0,-6.99e-06,0,-3.49e-06,0,-7.65e-06,0,-4.08e-06,-5.65e-06,-Inf,-9.51e-06,-2.11e-06,-9.7e-07,-6.12e-06,Inf,Inf,0,0,-5.23e-06,0,-1e-05,-4e-06,0,-7.65e-06,-3.95e-06,0,-9.35e-06,0,-4.95e-06,0,0,0,0,-7.72e-06,0,Inf,-8.91e-06,0
"Orn_2.2",-0.03317139,0,-0.02390049,-0.02727894,-0.04426497,-0.02215084,-0.0456863,-0.03162603,-0.05206278,-Inf,0,0,-0.02907026,0,-0.06289919,0,-0.03511045,0,-0.09298702,0,-0.07675844,-0.04483159,-0.3822633,-0.02963539,-0.0390783,-0.03351513,-0.04084566,-Inf,Inf,0,0,-0.02664625,0,-0.0282612,-0.24495743,0,-0.0304385,-0.0310086,0,-0.02561622,0,-0.02575374,0,0,0,0,-0.02518256,0,0,-0.02687703,0
"Orn_3.3",-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,0,0,Inf,0,-Inf,0,-Inf,0,-Inf,0,-Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,Inf,0,0,-Inf,0,-Inf,-Inf,0,-Inf,-Inf,0,-Inf,0,-Inf,0,0,0,0,-Inf,0,0,-Inf,0
"Orn_4.4",-Inf,0,Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,0,0,-Inf,0,Inf,0,-Inf,0,-Inf,0,Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,Inf,0,0,Inf,0,-Inf,-Inf,0,Inf,-Inf,0,Inf,0,-Inf,0,0,0,0,-Inf,0,0,-Inf,0
