"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Glu_3.3",265.58870978,21585.56950057,0,1207.85701815,90.08443623,1330.9296284,977.36653325,379.00672055,1677.0717537,1957.55467089,9877.67686997,19025.99683266,417.32285647,3185.16921637,2111.96405477,15835.54195791,1416.33192456,11949.47102473,1565.40245196,6238.93146718,0,2117.35819097,0,659.53921036,745.00885504,0,1877.63565022,84.72765276,1136.16819415,10040.35628516,2923.78955713,79.00050029,7151.76968973,173.97217494,532.49885143,12520.82642784,1275.95770911,0,17266.00910554,0,5353.70062449,2451.14928323,22984.66384381,13720.60976712,10982.66512427,2699.88458631,1041.69754125,8823.66252532,2942.77766782,0,10755.57748299
"Glu_4.3",0,400952.95048844,0,43239.10980511,0,27854.55098576,0,35374.44029823,0,45837.43838842,270114.10266551,454071.9866263,0,117217.08554409,37491.82469884,317358.82727217,0,298160.65791367,0,126469.85334056,0,0,0,0,0,0,0,0,0,251797.10394237,121796.30728354,43394.45579883,215542.82702818,0,0,271103.6226159,43640.7837419,0,357561.06484874,32831.6894365,143340.05644725,0,390717.93376405,277279.42220542,302675.73663436,124076.72487237,0,269658.3727218,145973.20328535,0,296184.62310533
"Glu_4.4",0,91017.72909256,0,10800.63755146,0,6129.88042855,0,6236.65891357,0,11023.89331817,59976.20760407,96486.5887292,0,23430.47052777,8557.89134409,69892.33466708,0,64785.97244147,0,27127.8611694,0,0,0,0,0,0,0,0,0,50984.61054471,27940.58163861,9122.32047855,43217.83727738,0,0,58834.7466687,9115.71674989,0,81213.07040179,7528.33994823,30550.12951892,0,88609.21331822,62832.58339758,66237.70525209,25711.28609458,0,58178.75782849,30301.73531051,0,62880.42582888
"Glu_5.4",51089.80389246,11173438.0631398,91299.11336959,1282106.20343905,41542.82324054,842577.44801702,42128.18675706,1003758.47472762,55034.8334682,1299565.4216841,7733158.25957773,12253082.7487161,99625.57105556,3401835.63687227,1184958.51926938,8961854.24127841,31663.28989194,8113054.22027176,22867.16759182,3662106.2050216,27102.59144431,0,41943.82570501,30864.93815691,35546.27189498,120567.15735383,93483.80954768,58565.33117931,52653.18001486,6889773.90925251,3605650.04135192,1198273.57587803,5764651.01401749,90231.22534276,35210.85360202,7573513.98865978,1302352.38787175,0,9413050.19694277,917629.14494394,4260074.0197594,20844.57878703,10582000.2233552,8182262.41729309,8576651.07526282,3502916.02736051,51329.875978,7392682.97932016,3959583.03754905,41698.79647886,8261718.28395996
"Pro_0.0",3227391.87006015,2503836.68646559,3348747.95881796,3889995.06127552,2660890.40766266,3756275.64584086,4429272.78772358,3588668.49424404,3899854.41345135,3764961.96644438,3986927.62664969,2741596.67423143,3645483.86315842,2779266.71460095,2528249.18652952,2211842.37733585,2710630.43212381,3148204.36993878,2104313.669403,2883806.43392176,4336749.9075271,500585.72214009,3475275.24992681,3309045.45623541,3204955.45197537,4259352.98123681,4385997.21467066,3744387.45789148,2810484.39636037,1938217.2817766,2937225.87628585,3110365.14534207,2356384.48529651,4928099.99603411,4265210.91660529,2664815.29442665,3130768.89290555,3062286.35924182,3060901.76871867,3214899.66916122,2840451.13303808,3786552.34547126,2306850.20155861,1729959.59300881,3337584.82673168,2825730.51404581,2891671.07840555,2818472.73054261,3309819.71295414,3613181.09798842,2239522.7802967
"Pro_1.1",0,34282.95233924,8100.50601559,0,4758.77915452,0,5088.18473863,0,10016.79220634,0,0,39913.71310901,0,0,0,13329.10334051,0,0,0,0,0,0,0,0,0,0,0,0,0,3225.8803263,3246.76288085,0,2965.68098272,0,0,18815.29340344,2202.99730594,0,31829.32063039,0,0,0,14063.33911899,6038.39733392,0,0,0,15011.42059408,0,0,6454.04508432
"Pro_2.2",0,28417.57368858,2695.83309873,3351.25939153,2191.3163086,4393.4275154,4455.53249517,0,1284.31672845,0,17577.67600935,35524.34782807,191.04915625,1815.35796263,1378.24463177,17520.71102507,2555.29234372,14220.24220977,2643.84616216,2250.74528441,12346.10789067,0,3192.67336953,4291.8787842,2737.880985,2673.70042661,3799.29146322,1007.95356943,3127.88968953,10449.6807652,1446.30007298,1117.00197823,6641.73187616,0,1840.72361919,33927.61585215,4861.82910981,759.2919903,36175.56739238,3072.03354059,0,4041.50888727,18572.363053,15929.91900818,3488.52132467,2476.98155867,2879.16941938,11913.3892667,5140.86853383,7226.3231259,11081.77123431
"Pro_3.3",0,118851.70985666,0,0,0,0,0,0,0,0,51459.85177457,131208.23231696,0,0,0,58173.83962177,0,29626.17590851,0,0,0,0,0,0,0,0,0,0,0,32247.57666758,0,0,17921.03460629,0,0,110648.25124986,0,0,147334.93904849,0,0,0,81660.97337311,40220.11004006,27003.01279384,0,0,47802.92694442,0,0,38435.26087725
"Pro_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_5.5",0,400091.48396137,0,0,0,0,0,0,0,0,209564.2232464,472158.40719362,0,23045.51724789,0,191729.33266577,0,110995.01966368,0,18282.99899232,0,0,0,0,0,0,0,0,0,122699.28343759,15247.56388337,0,63078.72706641,0,0,375234.24420698,0,0,493087.2318596,0,24544.95478538,0,239248.27801169,135231.11106918,89633.66101493,12367.28858207,0,173653.91956664,27546.59614514,0,129527.63942025
